PLAYER,GAME,MIN,REB,AST,TO,STL,BLK,PF,PTS,W,L,Diff,OFFENSE: Pts/Poss,OFFENSE: eFG%,OFFENSE: TOV%,OFFENSE: ORB%,OFFENSE: FT Rate,DEFENSE: Pts/Poss,DEFENSE: eFG%,DEFENSE: TOV%,DEFENSE: ORB%,DEFENSE: FT Rate
aj-griffin,8,12,4,1,0,0,0,0,0,37.0,12.0,8.9,121.2,0.571,0.126,0.271,19.9,112.3,0.528,0.119,0.260,14.9
aj-griffin,9,6,0,0,0,0,0,0,6,9.0,39.0,-9.8,111.9,0.544,0.133,0.222,17.9,121.8,0.566,0.136,0.321,20.1
aj-griffin,10,3,0,0,0,0,0,0,0,19.0,28.0,-1.0,116.0,0.540,0.129,0.284,17.8,117.0,0.547,0.125,0.268,20.6
aj-lawson,0,15,2,1,0,0,1,2,3,34.0,15.0,6.9,115.9,0.569,0.153,0.260,22.0,109.1,0.515,0.145,0.263,19.4
aj-lawson,1,4,0,1,1,0,0,1,2,28.0,19.0,0.1,117.6,0.565,0.134,0.264,17.9,117.5,0.566,0.138,0.249,21.6
aj-lawson,2,5,1,1,0,0,0,0,3,28.0,21.0,3.6,119.7,0.570,0.149,0.285,24.4,116.1,0.544,0.129,0.278,19.0
aj-lawson,3,5,0,0,0,0,0,0,2,25.0,25.0,-0.2,115.4,0.561,0.138,0.232,21.8,115.6,0.554,0.136,0.265,16.7
aj-lawson,4,14,1,0,0,0,1,1,3,28.0,21.0,3.3,117.5,0.559,0.135,0.275,21.4,114.3,0.544,0.140,0.262,20.0
aj-lawson,5,6,1,1,1,0,0,0,3,28.0,21.0,3.3,117.5,0.559,0.135,0.275,21.4,114.3,0.544,0.140,0.262,20.0
aj-lawson,6,5,2,0,0,0,0,1,3,18.0,31.0,-5.7,108.8,0.520,0.148,0.263,18.2,114.5,0.547,0.153,0.277,21.7
aj-lawson,7,25,5,2,2,2,0,5,14,15.0,33.0,-9.4,109.4,0.508,0.150,0.297,19.1,118.7,0.568,0.147,0.291,21.5
aj-lawson,8,8,0,0,0,1,0,1,3,15.0,33.0,-9.4,109.4,0.508,0.150,0.297,19.1,118.7,0.568,0.147,0.291,21.5
aj-lawson,9,5,1,0,0,0,0,0,0,28.0,21.0,3.6,119.7,0.570,0.149,0.285,24.4,116.1,0.544,0.129,0.278,19.0
aj-lawson,10,31,7,3,1,2,0,2,17,10.0,39.0,-8.4,110.8,0.533,0.146,0.256,17.4,119.1,0.566,0.132,0.280,19.6
al-horford,0,24,9,1,0,1,2,0,6,25.0,25.0,-0.2,115.4,0.561,0.138,0.232,21.8,115.6,0.554,0.136,0.265,16.7
al-horford,1,36,8,4,0,0,1,1,11,28.0,21.0,3.3,117.5,0.559,0.135,0.275,21.4,114.3,0.544,0.140,0.262,20.0
al-horford,2,19,2,1,1,0,0,1,0,32.0,15.0,8.5,122.1,0.577,0.130,0.280,21.5,113.7,0.532,0.139,0.281,19.9
al-horford,3,23,7,6,1,0,1,2,8,26.0,23.0,-1.8,113.8,0.536,0.136,0.255,22.9,115.5,0.559,0.141,0.259,18.3
al-horford,4,31,6,3,1,1,0,2,11,26.0,22.0,-0.0,118.7,0.565,0.125,0.250,20.0,118.7,0.564,0.140,0.293,20.0
al-horford,5,27,10,2,0,0,0,3,6,33.0,16.0,4.1,118.9,0.562,0.130,0.292,18.0,114.7,0.536,0.125,0.267,20.5
al-horford,6,25,3,0,0,1,0,2,9,10.0,39.0,-8.4,110.8,0.533,0.146,0.256,17.4,119.1,0.566,0.132,0.280,19.6
al-horford,7,35,11,2,1,1,0,3,10,17.0,31.0,-2.8,115.0,0.547,0.134,0.273,18.5,117.8,0.561,0.136,0.279,18.0
al-horford,8,20,4,1,0,0,1,0,7,23.0,25.0,2.7,115.0,0.536,0.126,0.264,20.7,112.3,0.530,0.137,0.263,22.6
al-horford,9,38,8,5,1,0,0,3,9,34.0,15.0,6.9,115.9,0.569,0.153,0.260,22.0,109.1,0.515,0.145,0.263,19.4
al-horford,10,32,6,0,1,0,1,1,11,27.0,23.0,1.1,121.7,0.582,0.134,0.283,18.0,120.7,0.567,0.137,0.297,24.3
alec-burks,0,21,2,1,1,1,1,0,6,32.0,15.0,8.5,122.1,0.577,0.130,0.280,21.5,113.7,0.532,0.139,0.281,19.9
alec-burks,1,30,4,6,2,0,1,2,11,30.0,16.0,4.5,115.9,0.552,0.137,0.281,18.6,111.4,0.530,0.147,0.265,21.0
alec-burks,2,26,6,2,3,3,0,1,10,34.0,15.0,8.4,120.5,0.578,0.123,0.239,21.2,112.1,0.525,0.158,0.307,21.4
alec-burks,3,18,4,0,0,0,0,1,8,9.0,39.0,-9.8,111.9,0.544,0.133,0.222,17.9,121.8,0.566,0.136,0.321,20.1
alec-burks,4,26,0,1,0,0,0,1,15,10.0,37.0,-11.9,110.6,0.529,0.139,0.259,17.0,122.5,0.586,0.138,0.275,21.3
alec-burks,5,28,2,3,1,0,0,4,9,32.0,16.0,3.4,120.9,0.576,0.125,0.251,23.4,117.5,0.542,0.114,0.263,19.4
alec-burks,6,30,7,6,0,1,0,2,33,32.0,16.0,3.4,120.9,0.576,0.125,0.251,23.4,117.5,0.542,0.114,0.263,19.4
alec-burks,7,20,1,1,0,2,0,1,12,34.0,15.0,6.9,115.9,0.569,0.153,0.260,22.0,109.1,0.515,0.145,0.263,19.4
alec-burks,8,29,2,2,1,0,0,2,34,9.0,39.0,-9.8,111.9,0.544,0.133,0.222,17.9,121.8,0.566,0.136,0.321,20.1
alec-burks,9,30,0,1,2,0,2,3,19,23.0,25.0,2.7,115.0,0.536,0.126,0.264,20.7,112.3,0.530,0.137,0.263,22.6
alec-burks,10,20,2,2,1,0,0,1,15,10.0,39.0,-8.4,110.8,0.533,0.146,0.256,17.4,119.1,0.566,0.132,0.280,19.6
aleksandar-vezenkov,0,6,2,0,0,0,0,1,8,21.0,27.0,-1.9,118.6,0.541,0.133,0.306,21.7,120.4,0.580,0.142,0.282,19.9
aleksandar-vezenkov,1,11,3,0,0,1,1,1,7,27.0,23.0,1.1,121.7,0.582,0.134,0.283,18.0,120.7,0.567,0.137,0.297,24.3
aleksandar-vezenkov,2,18,2,1,1,1,0,1,14,28.0,21.0,3.6,119.7,0.570,0.149,0.285,24.4,116.1,0.544,0.129,0.278,19.0
aleksandar-vezenkov,3,6,1,0,0,0,0,0,4,32.0,16.0,3.4,120.9,0.576,0.125,0.251,23.4,117.5,0.542,0.114,0.263,19.4
aleksandar-vezenkov,4,9,5,0,1,0,0,0,2,30.0,17.0,6.3,120.3,0.546,0.118,0.277,25.7,114.0,0.536,0.145,0.291,22.1
aleksandar-vezenkov,5,21,2,0,0,0,0,0,11,28.0,21.0,3.3,117.5,0.559,0.135,0.275,21.4,114.3,0.544,0.140,0.262,20.0
aleksandar-vezenkov,6,3,1,0,0,0,0,0,2,18.0,31.0,-5.7,108.8,0.520,0.148,0.263,18.2,114.5,0.547,0.153,0.277,21.7
aleksandar-vezenkov,7,9,1,1,0,0,0,1,0,15.0,33.0,-9.4,109.4,0.508,0.150,0.297,19.1,118.7,0.568,0.147,0.291,21.5
aleksandar-vezenkov,8,8,1,0,0,1,0,1,0,34.0,15.0,6.9,115.9,0.569,0.153,0.260,22.0,109.1,0.515,0.145,0.263,19.4
aleksandar-vezenkov,9,6,1,0,1,0,0,1,3,28.0,21.0,3.6,119.7,0.570,0.149,0.285,24.4,116.1,0.544,0.129,0.278,19.0
aleksandar-vezenkov,10,13,3,0,0,0,0,0,3,37.0,12.0,8.9,121.2,0.571,0.126,0.271,19.9,112.3,0.528,0.119,0.260,14.9
aleksej-pokusevski,0,7,1,0,0,1,0,0,4,10.0,37.0,-11.9,110.6,0.529,0.139,0.259,17.0,122.5,0.586,0.138,0.275,21.3
aleksej-pokusevski,1,5,1,0,0,0,0,0,2,10.0,39.0,-8.4,110.8,0.533,0.146,0.256,17.4,119.1,0.566,0.132,0.280,19.6
aleksej-pokusevski,2,9,1,0,0,0,0,0,0,24.0,26.0,-3.2,116.3,0.545,0.157,0.321,20.8,119.5,0.561,0.122,0.273,18.7
aleksej-pokusevski,3,3,0,0,0,0,0,1,0,25.0,25.0,-0.2,115.4,0.561,0.138,0.232,21.8,115.6,0.554,0.136,0.265,16.7
aleksej-pokusevski,4,9,3,4,0,0,0,1,5,15.0,33.0,-9.4,109.4,0.508,0.150,0.297,19.1,118.7,0.568,0.147,0.291,21.5
aleksej-pokusevski,5,5,1,1,0,0,0,0,0,10.0,39.0,-8.4,110.8,0.533,0.146,0.256,17.4,119.1,0.566,0.132,0.280,19.6
aleksej-pokusevski,6,2,0,0,1,0,0,2,0,6.0,42.0,-10.9,111.3,0.538,0.156,0.278,19.3,122.2,0.566,0.115,0.263,24.4
aleksej-pokusevski,7,14,1,0,2,0,1,1,1,33.0,16.0,4.1,118.9,0.562,0.130,0.292,18.0,114.7,0.536,0.125,0.267,20.5
aleksej-pokusevski,8,2,2,0,0,0,0,0,0,23.0,26.0,-2.0,114.1,0.534,0.126,0.277,18.4,116.1,0.556,0.146,0.274,20.1
alex-caruso,0,34,5,3,0,0,3,2,10,10.0,37.0,-11.9,110.6,0.529,0.139,0.259,17.0,122.5,0.586,0.138,0.275,21.3
alex-caruso,1,33,3,2,3,1,2,2,11,17.0,31.0,-2.8,115.0,0.547,0.134,0.273,18.5,117.8,0.561,0.136,0.279,18.0
alex-caruso,2,32,5,3,0,1,1,5,9,15.0,33.0,-9.4,109.4,0.508,0.150,0.297,19.1,118.7,0.568,0.147,0.291,21.5
alex-caruso,3,35,4,6,2,2,2,4,17,25.0,25.0,-0.2,115.4,0.561,0.138,0.232,21.8,115.6,0.554,0.136,0.265,16.7
alex-caruso,4,33,4,3,2,0,3,5,15,28.0,21.0,3.6,119.7,0.570,0.149,0.285,24.4,116.1,0.544,0.129,0.278,19.0
alex-caruso,5,25,3,1,0,2,1,3,8,18.0,31.0,-5.7,108.8,0.520,0.148,0.263,18.2,114.5,0.547,0.153,0.277,21.7
alex-caruso,6,28,3,4,1,2,2,4,10,17.0,31.0,-2.8,115.0,0.547,0.134,0.273,18.5,117.8,0.561,0.136,0.279,18.0
alex-caruso,7,31,3,3,2,3,1,1,10,30.0,16.0,4.5,115.9,0.552,0.137,0.281,18.6,111.4,0.530,0.147,0.265,21.0
alex-caruso,8,33,6,6,1,2,3,1,11,10.0,39.0,-8.4,110.8,0.533,0.146,0.256,17.4,119.1,0.566,0.132,0.280,19.6
alex-caruso,9,29,2,2,0,0,1,0,6,21.0,24.0,0.7,118.7,0.560,0.146,0.303,19.9,118.0,0.548,0.126,0.269,22.1
alex-caruso,10,32,6,3,0,1,1,3,12,23.0,25.0,2.7,115.0,0.536,0.126,0.264,20.7,112.3,0.530,0.137,0.263,22.6
