PLAYER,GAME,OPP,MIN,REB,AST,TO,STL,BLK,PF,PTS
alex-caruso,2,POR,32,5,3,0,1,1,5,9
alex-caruso,3,LAL,35,4,6,2,2,2,4,17
alex-caruso,4,PHO,33,4,3,2,0,3,5,15
alex-caruso,5,MEM,25,3,1,0,2,1,3,8
alex-caruso,6,TOR,28,3,4,1,2,2,4,10
alex-caruso,7,CLE,31,3,3,2,3,1,1,10
alex-caruso,8,SAS,33,6,6,1,2,3,1,11
alex-caruso,9,GSW,29,2,2,0,0,1,0,6
alex-caruso,10,HOU,32,6,3,0,1,1,3,12
alex-fudge,0,OKC,4,1,0,0,0,0,0,2
alex-fudge,1,DET,4,1,0,0,0,0,1,0
alex-fudge,2,PHI,2,0,0,1,0,0,0,2
alex-fudge,3,ORL,4,0,0,0,0,0,0,0
alex-len,0,IND,5,0,0,2,0,0,1,0
alex-len,1,PHO,8,0,0,2,0,0,3,0
alex-len,2,MIL,11,5,1,0,0,0,3,4
alex-len,3,PHI,8,4,1,0,0,0,1,2
alex-len,4,CHA,16,10,1,1,1,1,2,8
alex-len,5,DET,10,3,0,1,0,1,1,6
alex-len,6,NOR,10,1,3,0,1,0,1,0
alex-len,7,CHA,13,4,3,1,0,0,2,3
alex-len,8,MEM,12,9,1,2,0,1,3,0
alex-len,9,ATL,13,4,4,0,0,0,0,2
alex-len,10,POR,2,0,0,0,0,0,0,0
allPlayers,aaron-gordon,0,POR,28,4,5,3,0,0,4,18
allPlayers,aaron-gordon,1,OKC,39,13,7,1,1,4,2,16
allPlayers,aaron-gordon,2,MIL,25,6,2,2,0,1,6,8
allPlayers,aaron-gordon,3,PHI,31,4,2,1,1,0,1,18
allPlayers,aaron-gordon,4,NYK,30,5,2,1,1,0,2,12
allPlayers,aaron-gordon,5,IND,32,1,1,0,0,2,3,9
allPlayers,aaron-gordon,6,WAS,31,10,2,1,1,3,0,11
allPlayers,aaron-gordon,7,BOS,42,10,3,1,0,1,3,2
allPlayers,aaron-gordon,8,PHI,39,6,4,2,0,0,5,16
allPlayers,aaron-gordon,9,IND,37,10,3,2,0,0,0,20
allPlayers,aaron-gordon,10,NOR,31,5,2,2,0,0,2,15
allPlayers,aaron-holiday,0,TOR,12,0,2,2,1,0,1,3
allPlayers,aaron-holiday,1,NOR,17,1,1,0,0,0,1,0
allPlayers,aaron-holiday,2,BKN,18,3,1,2,0,0,2,6
allPlayers,aaron-holiday,3,CHA,19,1,6,2,0,0,2,10
allPlayers,aaron-holiday,4,POR,30,3,2,0,1,0,0,12
allPlayers,aaron-holiday,5,BOS,27,4,5,2,1,0,4,12
allPlayers,aaron-holiday,6,UTH,9,0,0,0,3,0,2,6
allPlayers,aaron-holiday,7,NYK,4,1,1,0,0,0,0,0
allPlayers,aaron-holiday,8,PHI,6,1,1,0,0,0,0,0
allPlayers,aaron-holiday,9,BOS,9,0,1,0,0,0,0,5
allPlayers,aaron-holiday,10,DET,3,1,0,0,0,0,0,0
allPlayers,aaron-nesmith,0,SAC,27,4,2,1,1,1,6,6
allPlayers,aaron-nesmith,1,NYK,37,6,1,2,1,0,6,17
allPlayers,aaron-nesmith,2,BOS,41,12,7,0,0,1,3,26
allPlayers,aaron-nesmith,3,MEM,37,7,6,1,2,1,3,16
allPlayers,aaron-nesmith,4,PHO,34,6,3,1,1,1,4,22
allPlayers,aaron-nesmith,5,PHI,29,8,3,1,0,0,2,16
allPlayers,aaron-nesmith,6,DEN,34,9,0,1,0,0,3,13
allPlayers,aaron-nesmith,7,PHO,26,3,1,0,1,0,4,6
allPlayers,aaron-nesmith,8,POR,28,4,2,2,0,0,6,12
allPlayers,aaron-nesmith,9,ATL,21,4,0,1,1,0,3,13
allPlayers,aaron-nesmith,10,WAS,24,3,1,0,0,0,1,10
allPlayers,aaron-wiggins,0,CHA,19,2,4,1,1,0,1,10
allPlayers,aaron-wiggins,1,DEN,25,4,2,0,0,0,2,12
allPlayers,aaron-wiggins,2,MIN,20,4,1,1,1,0,1,7
allPlayers,aaron-wiggins,3,DET,20,1,0,2,2,0,2,7
allPlayers,aaron-wiggins,4,NOR,17,2,1,1,0,0,1,8
allPlayers,aaron-wiggins,5,SAS,19,3,1,0,0,1,1,22
allPlayers,aaron-wiggins,6,POR,17,3,0,1,0,0,3,13
allPlayers,aaron-wiggins,7,MIN,12,0,0,1,0,0,0,5
allPlayers,aaron-wiggins,8,UTH,22,2,5,0,0,1,3,4
allPlayers,aaron-wiggins,9,LAC,17,4,2,0,1,0,0,7
allPlayers,aaron-wiggins,10,ORL,7,1,1,0,2,0,4,0
allPlayers,adama-sanogo,0,NYK,1,0,0,0,0,0,0,0
allPlayers,adama-sanogo,1,PHI,9,6,0,1,0,0,0,8
allPlayers,adama-sanogo,2,IND,1,0,0,0,0,0,0,0
allPlayers,admiral-schofield,0,CLE,3,1,0,0,0,0,0,0
allPlayers,admiral-schofield,1,DEN,9,1,1,0,0,0,0,5
allPlayers,admiral-schofield,2,SAC,6,0,1,0,0,0,1,0
allPlayers,admiral-schofield,3,PHI,1,0,0,0,0,0,0,0
allPlayers,admiral-schofield,4,BOS,2,0,1,0,0,0,0,0
allPlayers,admiral-schofield,5,BOS,3,2,0,1,0,0,1,0
allPlayers,admiral-schofield,6,DET,4,2,0,2,0,0,3,2
allPlayers,admiral-schofield,7,BKN,4,1,1,0,0,0,0,0
allPlayers,admiral-schofield,8,WAS,4,0,0,0,0,0,1,0
allPlayers,admiral-schofield,9,TOR,2,0,0,0,0,0,0,0
allPlayers,admiral-schofield,10,IND,5,0,0,1,0,0,1,0
allPlayers,aj-green,0,NOR,4,1,0,1,0,0,1,3
allPlayers,aj-green,1,CLE,1,0,0,0,0,0,0,0
allPlayers,aj-green,2,CLE,13,2,1,0,0,0,2,3
allPlayers,aj-green,3,SAC,18,0,0,0,0,0,2,5
allPlayers,aj-green,4,BOS,9,2,2,0,0,1,1,9
allPlayers,aj-green,5,UTH,11,1,0,0,0,0,0,8
